states,transship,actions1,actions2,logprobs,rewards,is_terminals
"tensor([50.0000, 24.0000, 13.0488,  5.3319,  6.5636,  7.6716, 10.0000,  5.0000])",0,10,5,tensor(-0.2037),-168.0,False
"tensor([50.0000, 21.0000,  5.3319,  1.6200,  7.6716,  8.3848, 10.0000,  5.0000])",0,10,5,tensor(-0.2390),-162.0,False
"tensor([54.0000, 17.0000,  1.6200,  4.5430,  8.3848,  4.4262, 10.0000,  5.0000])",0,10,5,tensor(-0.5725),-162.0,False
"tensor([60.0000, 17.0000,  4.5430, 10.1128,  4.4262, 11.7208, 10.0000,  5.0000])",0,0,10,tensor(-2.0876),-164.0,False
"tensor([56.0000, 16.0000, 10.1128, 12.9760, 11.7208, 10.6185,  0.0000, 10.0000])",0,10,5,tensor(-0.6646),-164.0,False
"tensor([49.0000, 13.0000, 12.9760, 12.0503, 10.6185,  2.0093, 10.0000,  5.0000])",0,20,20,tensor(-2.2562),-144.0,False
"tensor([45.0000,  9.0000, 12.0503,  3.3430,  2.0093, 13.7131, 20.0000, 20.0000])",0,0,5,tensor(-2.1441),-118.0,False
"tensor([48.0000, 28.0000,  3.3430,  1.7925, 13.7131,  9.1304,  0.0000,  5.0000])",0,10,5,tensor(-0.1417),-172.0,False
"tensor([45.0000, 18.0000,  1.7925, 13.1260,  9.1304, 14.3402, 10.0000,  5.0000])",0,20,20,tensor(-2.5599),-146.0,False
"tensor([55.0000, 14.0000, 13.1260,  8.0663, 14.3402,  5.9401, 20.0000, 20.0000])",0,10,5,tensor(-0.9566),-158.0,False
"tensor([47.0000, 19.0000,  8.0663, 13.5858,  5.9401,  7.0183, 10.0000,  5.0000])",0,0,10,tensor(-3.0898),-142.0,False
"tensor([49.0000, 17.0000, 13.5858,  0.1161,  7.0183, 11.7986,  0.0000, 10.0000])",0,10,5,tensor(-0.7230),-152.0,False
"tensor([31.0000, 16.0000,  0.1161,  2.6121, 11.7986,  6.8596, 10.0000,  5.0000])",0,10,5,tensor(-0.1696),-114.0,False
"tensor([41.0000,  8.0000,  2.6121,  0.5198,  6.8596,  9.5028, 10.0000,  5.0000])",0,10,5,tensor(-1.3773),-118.0,False
"tensor([50.0000,  4.0000,  0.5198,  2.3924,  9.5028,  2.9740, 10.0000,  5.0000])",0,0,5,tensor(-3.1209),-118.0,False
"tensor([60.0000, -3.0000,  2.3924,  8.8724,  2.9740,  6.8050,  0.0000,  5.0000])",0,0,10,tensor(-1.1650),-280.0,False
"tensor([58.0000,  3.0000,  8.8724,  6.1895,  6.8050,  5.6039,  0.0000, 10.0000])",0,0,15,tensor(-2.6309),-132.0,False
"tensor([50.0000, 10.0000,  6.1895,  0.4572,  5.6039,  5.3594,  0.0000, 15.0000])",0,10,5,tensor(-1.5424),-140.0,False
"tensor([45.0000, 20.0000,  0.4572,  2.1584,  5.3594,  4.3236, 10.0000,  5.0000])",0,10,5,tensor(-0.1746),-150.0,False
"tensor([54.0000, 17.0000,  2.1584,  8.1582,  4.3236,  5.2930, 10.0000,  5.0000])",0,0,15,tensor(-3.6549),-152.0,False
"tensor([56.0000, 16.0000,  8.1582,  8.1027,  5.2930,  4.9887,  0.0000, 15.0000])",0,20,20,tensor(-2.9035),-164.0,False
"tensor([47.0000, 27.0000,  8.1027,  2.5082,  4.9887, 12.1287, 20.0000, 20.0000])",0,10,5,tensor(-0.3209),-168.0,False
"tensor([50.0000, 44.0000,  2.5082,  6.0633, 12.1287,  7.0949, 10.0000,  5.0000])",0,20,0,tensor(-5.7675),-198.0,False
"tensor([58.0000, 39.0000,  6.0633,  1.1616,  7.0949, 12.1469, 20.0000,  0.0000])",0,10,5,tensor(-0.0799),-214.0,False
"tensor([52.0000, 37.0000,  1.1616, 11.9079, 12.1469,  5.3649, 10.0000,  5.0000])",0,10,5,tensor(-0.0482),-198.0,False
"tensor([58.0000, 29.0000, 11.9079,  3.0743,  5.3649,  4.7293, 10.0000,  5.0000])",0,10,5,tensor(-0.1667),-194.0,False
"tensor([50.0000, 31.0000,  3.0743,  6.1187,  4.7293,  1.3782, 10.0000,  5.0000])",0,10,5,tensor(-0.0705),-182.0,False
"tensor([57.0000, 33.0000,  6.1187,  2.9870,  1.3782,  9.4269, 10.0000,  5.0000])",0,10,5,tensor(-0.1027),-200.0,False
"tensor([54.0000, 38.0000,  2.9870,  5.8135,  9.4269,  0.7850, 10.0000,  5.0000])",0,10,5,tensor(-0.0549),-204.0,False
"tensor([58.0000, 26.0000,  5.8135, 12.9069,  0.7850,  8.1162, 10.0000,  5.0000])",0,10,5,tensor(-0.1571),-188.0,False
"tensor([55.0000, 30.0000, 12.9069, 13.0929,  8.1162,  0.1309, 10.0000,  5.0000])",0,10,5,tensor(-0.1481),-190.0,False
"tensor([34.0000, 28.0000, 13.0929,  9.7225,  0.1309,  2.8085, 10.0000,  5.0000])",0,10,5,tensor(-0.0694),-144.0,False
